message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"The message is classified as business update, and it comes from HDFC Bank, a business the user deals with. This is consistent with how the user treated similar messages.",0.76,message_0102;message_0243;message_0101
msg_091,mute,scam,"The message shows clear scam characteristics and is unsafe to deliver, and multiple risk signals point to unwanted or unsafe content. This is consistent with how the user treated similar messages.",0.95,message_0381;message_0238;message_0322
msg_090,digest,unknown,"The message is classified as unknown, and it comes from a sender the user has not heard from before.",0.74,none
msg_048,notify,urgent,"A trusted sender raised something time-sensitive, and this sender consistently matters to the user. This is consistent with how the user treated similar messages.",0.89,message_0150;message_0149;message_0269
msg_040,mute,forward,"The user muted this group and rarely reads it, and the message has been forwarded 7 times. This is consistent with how the user treated similar messages.",0.76,message_0136;message_0135;message_0017
msg_075,digest,business_update,"The message is classified as business update, and it comes from Grab, a business the user deals with. This is consistent with how the user treated similar messages.",0.64,message_0205;message_0206;message_0294
msg_005,digest,promotion,"The message is classified as promotion, and it was posted in Myntra Marketplace. This is consistent with how the user treated similar messages.",0.55,message_0114;message_0113;message_0049
msg_104,digest,personal,"The user rarely acts on notifications, and the user rarely engages with this sender. This is consistent with how the user treated similar messages.",0.86,message_0232;message_0383;message_0224
msg_069,mute,forward,"The user muted this group and rarely reads it, and the message has been forwarded 11 times. This is consistent with how the user treated similar messages.",0.92,message_0194;message_0247;message_0178
msg_107,mute,scam,"The message shows clear scam characteristics and is unsafe to deliver, and multiple risk signals point to unwanted or unsafe content. This is consistent with how the user treated similar messages.",0.95,message_0173;message_0213;message_0053
msg_070,mute,scam,"The message shows clear scam characteristics and is unsafe to deliver, and multiple risk signals point to unwanted or unsafe content. This is consistent with how the user treated similar messages.",0.95,message_0173;message_0213;message_0053
msg_003,notify,business_update,"A verified business the user deals with sent a transactional update, and this sender consistently matters to the user. This is consistent with how the user treated similar messages.",0.89,message_0031;message_0267;message_0400
msg_099,notify,personal,"This sender consistently matters to the user, and comparable messages from this source have mattered before. This is consistent with how the user treated similar messages.",0.59,message_0055;message_0249;message_0228
msg_008,digest,business_update,"The message arrived during the user's quiet hours, and the user is already receiving a heavy volume of notifications. This is consistent with how the user treated similar messages.",0.88,message_0071;message_0296;message_0072
msg_092,notify,payment,"The message is classified as payment, and it comes from American Express, a business the user has no relationship with. This is consistent with how the user treated similar messages.",0.63,message_0384;message_0346
msg_060,notify,event,"A trusted sender raised something time-sensitive, and this sender consistently matters to the user. This is consistent with how the user treated similar messages.",0.90,message_0176;message_0175;message_0404
msg_004,notify,event,"A verified business the user deals with sent a transactional update, and this sender consistently matters to the user. This is consistent with how the user treated similar messages.",0.93,message_0245;message_0064;message_0005
msg_030,mute,promotion,"The user muted this group and rarely reads it, and previous promotions from this source were dismissed. This is consistent with how the user treated similar messages.",0.68,message_0115;message_0050;message_0335
msg_045,digest,personal,"The message is classified as personal, and it was posted in Maple Heights Residents. This is consistent with how the user treated similar messages.",0.57,message_0145;message_0268;message_0371
msg_052,mute,scam,"The message shows clear scam characteristics and is unsafe to deliver, and an unfamiliar sender is asking for money or payment details. This is consistent with how the user treated similar messages.",0.95,message_0208;message_0207;message_0160
